float_sink_fraction,sinks,floats,fraction_mass,fraction_ash
F1.28,NA,1.28,25.48288699,4.250759461
S1.28  -  F1.30,1.28,1.3,7.253445154,7.896835666
S1.30  -  F1.35,1.3,1.35,26.35033684,9.024852428
S1.35  -  F1.40,1.35,1.4,18.95164506,12.87852324
S1.40  -  F1.45,1.4,1.45,6.5,18.5
S1.45  -  F1.50,1.45,1.5,2.5,22.9
S1.50  -  F1.55,1.50,1.55,1.1,27.4
S1.55  -  F1.60,1.55,1.6,0.7,30.1
S1.60  -  F1.70,1.6,1.7,0.9,35.9
S1.70  -  F1.80,1.7,1.8,0.5,40.6
S1.80  -  F1.90,1.8,1.9,0.3,42.5
S1.90  -  F2.00,1.9,2,0.4,51.1
S2.00  -  F2.20,2,2.2,1.5,66.9
S2.20,2.2,2.2,7.6,75.3
